"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"2","2","Carnivorous Canopy","one","Near Mint","English","","","2024-01-11 09:15:34.360000","162","False","False",""
"1","1","Carrion Locust","bro","Near Mint","English","","","2024-01-11 08:14:14.973000","87","False","False",""
"1","1","Catacomb Sifter","bfz","Near Mint","English","","","2024-01-14 06:13:35.583000","201","False","False",""
"1","1","Celestial Unicorn","afr","Near Mint","English","","","2024-01-11 07:35:54.797000","5","False","False",""
"1","1","Celestial Unicorn","afr","Near Mint","English","","","2024-01-11 07:35:44.360000","301","False","False",""
"1","1","Cemetery Prowler","vow","Near Mint","English","","","2023-12-28 00:54:12.993000","191","False","False",""
"1","1","Cephalopod Sentry","one","Near Mint","English","","","2023-12-27 06:18:40.447000","198","False","False",""
"1","1","Champion of the Flame","cmr","Near Mint","English","","","2024-01-11 07:03:26.317000","167","False","False",""
"1","1","Chaos Warp","scd","Near Mint","English","","","2023-12-27 05:13:11.847000","127","False","False",""
"2","2","Charcoal Diamond","cmr","Near Mint","English","","","2024-01-11 08:45:44.197000","303","False","False",""
"1","1","Charforger","one","Near Mint","English","","","2023-12-27 06:49:32.757000","199","False","False",""
"1","1","Charge of the Mites","one","Near Mint","English","","","2023-12-27 05:53:44.943000","6","False","False",""
"2","2","Chimney Rabble","one","Near Mint","English","","","2023-12-27 06:25:41.993000","126","False","False",""
"1","1","Chiss-Goria, Forge Tyrant","onc","Near Mint","English","","","2023-12-27 06:42:47.650000","25","False","False",""
"2","2","Chittering Skitterling","one","Near Mint","English","","","2023-12-27 06:30:06.707000","87","False","False",""
"1","1","Choking Restraints","emn","Near Mint","English","","","2024-01-11 07:46:12.217000","16","False","False",""
"3","3","Chrome Prowler","one","Near Mint","English","","","2024-01-11 08:23:14.247000","45","False","False",""
"1","1","Churning Reservoir","one","Near Mint","English","","","2023-12-27 05:18:23.963000","127","False","False",""
"1","1","Churning Reservoir","one","Near Mint","English","foil","","2023-12-27 05:59:02.330000","127","False","False",""
"1","1","Cinder Barrens","scd","Near Mint","English","","","2023-12-27 05:13:11.847000","294","False","False",""
"1","1","Cinderslash Ravager","one","Near Mint","English","","","2023-12-27 06:15:41.157000","200","False","False",""
"1","1","Circular Logic","dmr","Near Mint","English","","","2024-01-11 08:27:44.210000","42","False","False",""
"1","1","Citizen's Crowbar","snc","Near Mint","English","","","2023-12-28 01:03:11.543000","8","False","False",""
"1","1","Coastal Bulwark","bro","Near Mint","English","","","2024-01-11 08:58:52.710000","76","False","False",""
"1","1","Combustible Gearhulk","scd","Near Mint","English","","","2023-12-27 05:13:11.847000","128","False","False",""
"1","1","Command Tower","cmm","Near Mint","English","foil","","2024-01-15 06:38:50.003000","659","False","False",""
"1","1","Command Tower","scd","Near Mint","English","","","2023-12-27 05:13:11.847000","297","False","False",""
"1","1","Commander's Sphere","scd","Near Mint","English","","","2023-12-27 05:13:11.847000","261","False","False",""
"3","3","Compleat Devotion","one","Near Mint","English","","","2024-01-11 07:41:46.237000","7","False","False",""
"1","1","Compleat Devotion","one","Near Mint","English","foil","","2023-12-27 05:46:29.340000","7","False","False",""
"1","1","Conceited Witch // Price of Beauty","woe","Near Mint","English","","","2023-12-28 01:09:35.950000","84","False","False",""
"1","1","Conduit of Worlds","one","Near Mint","English","","","2023-12-27 05:30:33.430000","163","False","False",""
"1","1","Confiscate","cmr","Near Mint","English","","","2024-01-11 08:30:20.997000","62","False","False",""
"1","1","Conscripted Infantry","bro","Near Mint","English","","","2024-01-11 07:09:20.050000","129","False","False",""
"1","1","Contagious Vorrac","one","Near Mint","English","","","2023-12-27 06:44:31.787000","164","False","False",""
"1","1","Copper Longlegs","one","Near Mint","English","","","2023-12-27 05:21:43.407000","165","False","False",""
"1","1","Copper Longlegs","one","Near Mint","English","foil","","2023-12-27 06:51:59.350000","165","False","False",""
"1","1","Corpse Churn","cmr","Near Mint","English","","","2024-01-11 08:42:05.497000","113","False","False",""
"1","1","Court Street Denizen","cmr","Near Mint","English","","","2024-01-11 07:33:15.947000","17","False","False",""
"1","1","Coveted Jewel","scd","Near Mint","English","","","2023-12-27 05:13:11.847000","262","False","False",""
"1","1","Crashing Drawbridge","cmm","Near Mint","English","","","2024-01-10 21:41:01.887000","944","False","False",""
"2","2","Crawling Chorus","one","Near Mint","English","","","2023-12-27 06:25:24.120000","8","False","False",""
"2","2","Crimson Fleet Commodore","cmr","Near Mint","English","","","2024-01-11 07:10:21.667000","171","False","False",""
"1","1","Crossroads Consecrator","emn","Near Mint","English","","","2024-01-11 09:09:40.547000","154","False","False",""
"2","2","Crow of Dark Tidings","cmr","Near Mint","English","","","2024-01-11 08:16:06.733000","115","False","False",""
"3","3","Cruel Grimnarch","one","Near Mint","English","","","2024-01-11 08:09:27.240000","88","False","False",""
"1","1","Crushing Vines","cmr","Near Mint","English","","","2024-01-11 09:12:57.523000","221","False","False",""
"1","1","Crushing Vines","cmr","Near Mint","English","foil","","2024-01-11 09:13:05.997000","221","False","False",""
"1","1","Cultist's Staff","emn","Near Mint","English","","","2024-01-11 09:01:25.717000","194","False","False",""
"2","2","Cutthroat Centurion","one","Near Mint","English","","","2023-12-27 06:20:55.647000","89","False","False",""
"1","1","Cutthroat Centurion","one","Near Mint","English","foil","","2024-01-11 08:09:16.523000","89","False","False",""
"1","1","Darkslick Shores","one","Near Mint","English","","","2023-12-27 06:06:09.877000","250","False","False",""
"1","1","Darksteel Monolith","cmm","Near Mint","English","","","2024-01-10 21:41:01.887000","743","False","False",""
"1","1","Deadly Recluse","2x2","Near Mint","English","","","2024-01-11 07:13:04.960000","142","False","False",""
"1","1","Deadly Recluse","2x2","Near Mint","English","foil","","2024-01-11 07:13:19.350000","142","False","False",""
"1","1","Deadly Rollick","cmm","Near Mint","English","foil","","2024-01-15 06:38:26.400000","695","False","False",""
"1","1","Deadly Tempest","scd","Near Mint","English","","","2023-12-27 05:13:11.847000","75","False","False",""
"1","1","Deathless Behemoth","bfz","Near Mint","English","","","2024-01-14 06:13:22.443000","5","False","False",""
"2","2","Deep Analysis","dmr","Near Mint","English","","","2024-01-11 08:34:22.873000","46","False","False",""
"1","1","Defiant Salvager","cmr","Near Mint","English","","","2024-01-11 08:41:08.840000","117","False","False",""
"1","1","Deranged Assistant","cmr","Near Mint","English","","","2024-01-11 08:19:54.997000","65","False","False",""
"1","1","Desecrate Reality","cmm","Near Mint","English","","","2024-01-10 21:41:01.887000","714","False","False",""
"1","1","Desperate Farmer // Depraved Harvester","vow","Near Mint","English","","","2023-12-28 00:54:35.917000","104","False","False",""
"1","1","Dhund Operative","cmr","Near Mint","English","","","2024-01-11 08:11:35.043000","119","False","False",""
"1","1","Dictate of the Twin Gods","scd","Near Mint","English","","","2023-12-27 05:13:11.847000","131","False","False",""
"1","1","Dimensional Infiltrator","ogw","Near Mint","English","","","2024-01-14 06:14:02.077000","44","False","False",""
"1","1","Disenchant","bro","Near Mint","English","","","2024-01-11 07:42:05.453000","6","False","False",""
"1","1","Dispeller's Capsule","c21","Near Mint","English","","","2024-01-11 08:52:28.193000","89","False","False",""
"1","1","Dispeller's Capsule","cmr","Near Mint","English","","","2024-01-11 07:43:57.317000","18","False","False",""
"1","1","Disrupt Decorum","cmm","Near Mint","English","","","2024-01-10 21:45:43.680000","215","False","False",""
"1","1","Disrupt Decorum","cmm","Near Mint","English","etched","","2024-01-07 10:29:50.673000","533","False","False",""
"2","2","Distorted Curiosity","one","Near Mint","English","","","2024-01-11 08:28:57.983000","46","False","False",""
"3","3","Djinni Windseer","afr","Near Mint","English","","","2024-01-11 08:32:42.380000","55","False","False",""
"1","1","Dockside Chef","neo","Near Mint","English","","","2024-01-11 07:49:30.907000","93","False","False",""
"1","1","Dokuchi Shadow-Walker","neo","Near Mint","English","","","2024-01-11 08:14:50.407000","339","False","False",""
"1","1","Doomed Traveler","cmr","Near Mint","English","","","2024-01-11 07:36:21.597000","19","False","False",""
"1","1","Dragon Egg","cmr","Near Mint","English","","","2024-01-11 07:04:00.110000","173","False","False",""
"1","1","Dragon Mantle","cmr","Near Mint","English","","","2024-01-11 09:07:45.710000","174","False","False",""
"2","2","Dragon's Fire","afr","Near Mint","English","","","2024-01-11 07:26:39.263000","139","False","False",""
"1","1","Dragon's Rage Channeler","mh2","Near Mint","English","","","2024-01-11 07:08:57.107000","121","False","False",""
"1","1","Dragonwing Glider","one","Near Mint","English","","","2023-12-27 05:55:23.473000","128","False","False",""
"1","1","Dreamstone Hedron","cmm","Near Mint","English","","","2024-01-10 21:41:01.887000","945","False","False",""
"1","1","Dredge the Mire","scd","Near Mint","English","","","2023-12-27 05:13:11.847000","76","False","False",""
"1","1","Drider","afr","Near Mint","English","","","2024-01-11 08:13:43.797000","98","False","False",""
"1","1","Drivnod, Carnage Dominus","one","Near Mint","English","","","2023-12-27 06:30:42.460000","90","False","False",""
"2","2","Dross Skullbomb","one","Near Mint","English","","","2023-12-27 06:57:21.753000","225","False","False",""
"2","2","Drown in Ichor","one","Near Mint","English","","","2023-12-27 05:52:20.163000","91","False","False",""
"2","2","Duelist of Deep Faith","one","Near Mint","English","","","2024-01-11 07:36:05.443000","9","False","False",""
"2","2","Dune Mover","one","Near Mint","English","","","2024-01-11 08:58:36.633000","226","False","False",""
"1","1","Dune Mover","one","Near Mint","English","foil","","2023-12-27 07:03:55.337000","226","False","False",""
"1","1","Duplicant","cmm","Near Mint","English","","","2024-01-10 21:41:01.887000","946","False","False",""
"3","3","Duress","one","Near Mint","English","","","2024-01-11 08:44:46.627000","92","False","False",""
"1","1","Eaten Alive","j22","Near Mint","English","","","2024-01-11 08:43:18.993000","409","False","False",""
"1","1","Eldrazi Temple","cmm","Near Mint","English","","","2024-01-10 21:41:01.887000","992","False","False",""
"1","1","Electrostatic Infantry","dmu","Near Mint","English","","","2023-12-28 01:08:02.043000","122","False","False",""
"1","1","Elvish Visionary","cmr","Near Mint","English","","","2024-01-11 09:11:22.017000","223","False","False",""
"1","1","Endbringer","cmm","Near Mint","English","","","2024-01-10 21:41:01.887000","803","False","False",""
"1","1","Endless Atlas","cmm","Near Mint","English","","","2024-01-10 21:41:01.887000","947","False","False",""
"1","1","Endless One","cmm","Near Mint","English","","","2024-01-10 21:41:01.887000","804","False","False",""
"1","1","Entourage of Trest","cmr","Near Mint","English","","","2024-01-11 09:10:52.633000","224","False","False",""
"3","3","Escaped Experiment","one","Near Mint","English","","","2024-01-11 08:22:55.647000","48","False","False",""
"1","1","Everflowing Chalice","cmm","Near Mint","English","","","2024-01-10 21:41:01.887000","948","False","False",""
"3","3","Evolving Adaptive","one","Near Mint","English","","","2024-01-11 07:18:16.473000","167","False","False",""
"1","1","Evolving Adaptive","one","Near Mint","English","foil","","2024-01-11 07:14:28.237000","167","False","False",""
"3","3","Expand the Sphere","one","Near Mint","English","","","2024-01-11 09:15:19.490000","168","False","False",""
"1","1","Expel the Interlopers","woe","Near Mint","English","foil","","2023-12-27 07:07:43.530000","381","False","False",""
"4","4","Experimental Augury","one","Near Mint","English","","","2024-01-11 08:33:53.583000","49","False","False",""
"1","1","Explosion of Riches","scd","Near Mint","English","","","2023-12-27 05:13:11.847000","140","False","False",""
"1","1","Explosion of Riches","cmr","Near Mint","English","","","2024-01-11 07:28:16.437000","176","False","False",""
"1","1","Exquisite Huntmaster","cmr","Near Mint","English","","","2024-01-11 08:08:56.033000","122","False","False",""
"1","1","Extinguish the Light","dmu","Near Mint","English","","","2023-12-28 01:08:14.953000","94","False","False",""
"2","2","Exuberant Fuseling","one","Near Mint","English","","","2024-01-11 07:07:28.920000","129","False","False",""
"1","1","Exuberant Fuseling","one","Near Mint","English","foil","","2024-01-11 07:04:43.877000","129","False","False",""
"2","2","Eye of Malcator","one","Near Mint","English","","","2024-01-11 08:29:44.543000","50","False","False",""
"1","1","Eye of Ugin","mm2","Near Mint","English","","","2024-01-10 21:44:56.243000","242","False","False",""
"1","1","Eyeblight Assassin","cmr","Near Mint","English","","","2024-01-11 08:08:46.417000","123","False","False",""
"2","2","Eyeblight Massacre","cmr","Near Mint","English","","","2024-01-11 08:43:53.330000","125","False","False",""
"1","1","Eyeblight Massacre","cmr","Near Mint","English","foil","","2024-01-11 08:43:41.900000","125","False","False",""
"1","1","Faith Unbroken","emn","Near Mint","English","","","2024-01-11 07:46:42.830000","24","False","False",""
"1","1","Faithless Salvaging","mh2","Near Mint","English","","","2024-01-11 07:26:56.767000","122","False","False",""
"1","1","Fallaji Archaeologist","bro","Near Mint","English","foil","","2024-01-11 08:23:32.077000","48","False","False",""
"1","1","Falthis, Shadowcat Familiar","cmr","Near Mint","English","","","2024-01-11 07:48:52.477000","126","False","False",""
"2","2","Farhaven Elf","cmr","Near Mint","English","","","2024-01-11 07:15:57.627000","225","False","False",""
"4","4","Feed the Infection","one","Near Mint","English","","","2024-01-11 08:44:52.890000","93","False","False",""
"1","1","Feed the Swarm","scd","Near Mint","English","","","2023-12-27 05:13:11.847000","77","False","False",""
"1","1","Feldon of the Third Path","c21","Near Mint","English","","","2023-12-27 06:54:08.163000","169","False","False",""
"1","1","Fertilid","cmr","Near Mint","English","","","2024-01-11 07:14:18.697000","226","False","False",""
"1","1","Fiend Binder","emn","Near Mint","English","","","2024-01-11 07:37:18.950000","26","False","False",""
"2","2","Fiery Cannonade","cmr","Near Mint","English","","","2024-01-11 07:28:07.680000","178","False","False",""
"1","1","Fiery Confluence","scd","Near Mint","English","","","2023-12-27 05:13:11.847000","141","False","False",""
"2","2","Fin-Clade Fugitives","cmr","Near Mint","English","","","2024-01-11 09:12:11.313000","227","False","False",""
"1","1","Fireshrieker","cmm","Near Mint","English","","","2024-01-10 21:41:01.887000","949","False","False",""
"1","1","Flayer of Loyalties","cmm","Near Mint","English","","","2024-01-10 21:41:01.887000","715","False","False",""
"3","3","Flensing Raptor","one","Near Mint","English","","","2023-12-28 01:05:50.920000","12","False","False",""
"2","2","Fleshbag Marauder","cmr","Near Mint","English","","","2024-01-11 08:11:25.463000","128","False","False",""
"3","3","Fleshless Gladiator","one","Near Mint","English","","","2024-01-11 07:50:19.733000","94","False","False",""
"1","1","Flood of Recollection","cmr","Near Mint","English","","","2024-01-11 08:29:07.780000","61","False","False",""
"1","1","Flow of Knowledge","bro","Near Mint","English","","","2024-01-11 08:27:51.900000","49","False","False",""
"1","1","Fog of War","bro","Near Mint","English","","","2024-01-11 09:14:13.013000","180","False","False",""
"2","2","Font of Progress","one","Near Mint","English","","","2024-01-11 08:33:40.763000","51","False","False",""
"1","1","Font of Progress","one","Near Mint","English","foil","","2024-01-11 08:33:33.680000","51","False","False",""
"1","1","Forceful Denial","cmr","Near Mint","English","","","2024-01-11 08:25:29.667000","69","False","False",""
"1","1","Foreboding Ruins","scd","Near Mint","English","","","2023-12-27 05:13:11.847000","300","False","False",""
"1","1","Forge of Heroes","cmm","Near Mint","English","","","2024-01-10 21:41:01.887000","995","False","False",""
"2","2","Forgehammer Centurion","one","Near Mint","English","","","2024-01-11 07:05:23.140000","130","False","False",""
"1","1","Forsaken Monument","cmm","Near Mint","English","","","2024-01-10 21:41:01.887000","950","False","False",""
